lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
22.5,-15.25,22.75,-15.0,17.213338486179055,,left_only
22.75,-15.25,23.0,-15.0,11.914966571731725,,left_only
23.0,-15.25,23.25,-15.0,53.93690278949976,,left_only
24.0,-15.25,24.25,-15.0,10.439972003598996,,left_only
24.25,-15.25,24.5,-15.0,16.265013075233696,,left_only
25.0,-15.25,25.25,-15.0,11.108340354069584,,left_only
25.25,-15.25,25.5,-15.0,11.738343918046326,,left_only
26.75,-15.25,27.0,-15.0,33.339979818769734,,left_only
27.0,-15.25,27.25,-15.0,45.23165423602006,,left_only
27.25,-15.25,27.5,-15.0,41.65838599854999,,left_only
27.5,-15.25,27.75,-15.0,31.218314890819443,,left_only
27.75,-15.25,28.0,-15.0,39.95090434249289,,left_only
28.0,-15.25,28.25,-15.0,144.57647322244316,,left_only
28.25,-15.25,28.5,-15.0,196.2798746136596,,left_only
28.5,-15.25,28.75,-15.0,64.58020138471738,,left_only
28.75,-15.25,29.0,-15.0,20.54171224656,,left_only
33.25,-15.25,33.5,-15.0,12.973296062066764,,left_only
33.5,-15.25,33.75,-15.0,24.625027159336355,,left_only
33.75,-15.25,34.0,-15.0,15.859979303356797,,left_only
34.0,-15.25,34.25,-15.0,24.42158669226626,,left_only
34.25,-15.25,34.5,-15.0,50.389876807052815,,left_only
34.5,-15.25,34.75,-15.0,86.21834443345927,,left_only
34.75,-15.25,35.0,-15.0,123.94507181690471,,left_only
35.0,-15.25,35.25,-15.0,141.59988784259167,,left_only
35.25,-15.25,35.5,-15.0,136.46506700638395,,left_only
35.5,-15.25,35.75,-15.0,81.12672566540232,,left_only
35.75,-15.25,36.0,-15.0,57.71170954160482,,left_only
36.0,-15.25,36.25,-15.0,45.28671106588672,,left_only
36.25,-15.25,36.5,-15.0,25.796643865741544,,left_only
36.5,-15.25,36.75,-15.0,32.673344755110975,,left_only
36.75,-15.25,37.0,-15.0,32.22661874610003,,left_only
37.0,-15.25,37.25,-15.0,39.92659787765251,,left_only
37.25,-15.25,37.5,-15.0,69.9717166695583,,left_only
37.5,-15.25,37.75,-15.0,68.10677573288103,,left_only
37.75,-15.25,38.0,-15.0,34.34829844537023,,left_only
38.0,-15.25,38.25,-15.0,44.573382112921536,,left_only
38.25,-15.25,38.5,-15.0,41.91665983969165,,left_only
38.5,-15.25,38.75,-15.0,32.091603996737035,,left_only
38.75,-15.25,39.0,-15.0,39.43301978992395,,left_only
39.0,-15.25,39.25,-15.0,158.05999321565514,,left_only
39.25,-15.25,39.5,-15.0,183.31041440821423,,left_only
39.5,-15.25,39.75,-15.0,44.568376165641325,,left_only
39.75,-15.25,40.0,-15.0,34.756659667887334,,left_only
40.0,-15.25,40.25,-15.0,42.4984153693855,,left_only
40.25,-15.25,40.5,-15.0,30.156687492484025,,left_only
40.5,-15.25,40.75,-15.0,47.72173620748515,,left_only
17.5,-15.0,17.75,-14.75,33.68337142099131,,left_only
17.75,-15.0,18.0,-14.75,13.001678496640013,,left_only
22.5,-15.0,22.75,-14.75,11.246682554072777,,left_only
23.0,-15.0,23.25,-14.75,12.99333032739969,,left_only
24.0,-15.0,24.25,-14.75,11.123299110630567,,left_only
24.25,-15.0,24.5,-14.75,18.32164929760881,,left_only
24.5,-15.0,24.75,-14.75,15.685005603671584,,left_only
24.75,-15.0,25.0,-14.75,42.22667783137968,,left_only
25.0,-15.0,25.25,-14.75,29.00334222196011,,left_only
25.25,-15.0,25.5,-14.75,22.388396518675904,,left_only
26.75,-15.0,27.0,-14.75,23.80827517166233,,left_only
27.0,-15.0,27.25,-14.75,36.16163435448459,,left_only
27.25,-15.0,27.5,-14.75,34.26831098323407,,left_only
27.5,-15.0,27.75,-14.75,30.903320494491027,,left_only
27.75,-15.0,28.0,-14.75,42.20169240893836,,left_only
28.0,-15.0,28.25,-14.75,44.70329181087277,,left_only
28.25,-15.0,28.5,-14.75,47.15175110669554,,left_only
28.5,-15.0,28.75,-14.75,27.70505464032442,,left_only
30.75,-15.0,31.0,-14.75,13.843342050155798,,left_only
31.0,-15.0,31.25,-14.75,13.221657112779551,,left_only
31.25,-15.0,31.5,-14.75,18.46169953689184,,left_only
31.5,-15.0,31.75,-14.75,12.688333054311784,,left_only
33.25,-15.0,33.5,-14.75,11.339950276129912,,left_only
33.5,-15.0,33.75,-14.75,40.8599793033568,,left_only
33.75,-15.0,34.0,-14.75,43.158266884992486,,left_only
34.0,-15.0,34.25,-14.75,65.77996659368864,,left_only
34.25,-15.0,34.5,-14.75,91.97324127189496,,left_only
34.5,-15.0,34.75,-14.75,143.45508894957118,,left_only
34.75,-15.0,35.0,-14.75,155.31842095110017,,left_only
35.0,-15.0,35.25,-14.75,134.16173345861614,,left_only
35.25,-15.0,35.5,-14.75,104.31008755317976,,left_only
35.5,-15.0,35.75,-14.75,113.19025931128068,,left_only
35.75,-15.0,36.0,-14.75,54.44837496301113,,left_only
36.0,-15.0,36.25,-14.75,22.383375800075783,,left_only
36.25,-15.0,36.5,-14.75,37.43665932427871,,left_only
36.5,-15.0,36.75,-14.75,68.06687586783846,,left_only
36.75,-15.0,37.0,-14.75,29.334973871489524,,left_only
37.0,-15.0,37.25,-14.75,30.219978616139542,,left_only
37.25,-15.0,37.5,-14.75,47.27162366255436,,left_only
37.5,-15.0,37.75,-14.75,47.303318776447895,,left_only
37.75,-15.0,38.0,-14.75,32.39660126982494,,left_only
38.0,-15.0,38.25,-14.75,36.45999149761201,,left_only
38.25,-15.0,38.5,-14.75,36.17161670640519,,left_only
