,grid_name,lon_min,lon_max,lat_min,lat_max,folder_name,index_download,file_path,file_path_copied,start_time,end_time,geometry,file_path_len
0,Africa_grid_10_0_40_50_grid_0,18.0,18.25,0.25,0.5,grid_15_0_20_5,4702.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_15_0_20_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_0_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((15 0, 15 5, 20 5, 20 0, 15 0))",137.0
1,Africa_grid_10_0_40_50_grid_1,24.25,24.5,0.25,0.5,grid_20_0_25_5,4703.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_20_0_25_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_1_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((20 0, 20 5, 25 5, 25 0, 20 0))",137.0
2,Africa_grid_10_0_40_50_grid_2,24.5,24.75,0.25,0.5,grid_20_0_25_5,4704.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_20_0_25_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_2_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((20 0, 20 5, 25 5, 25 0, 20 0))",137.0
3,Africa_grid_10_0_40_50_grid_3,24.75,25.0,0.25,0.5,grid_20_0_25_5,4705.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_20_0_25_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_3_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((20 0, 20 5, 25 5, 25 0, 20 0))",137.0
4,Africa_grid_10_0_40_50_grid_4,25.0,25.25,0.25,0.5,grid_20_0_25_5,4706.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_20_0_25_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_4_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((20 0, 20 5, 25 5, 25 0, 20 0))",137.0
5,Africa_grid_10_0_40_50_grid_5,25.25,25.5,0.25,0.5,grid_25_0_30_5,4707.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_5_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",137.0
6,Africa_grid_10_0_40_50_grid_6,28.75,29.0,0.25,0.5,grid_25_0_30_5,4708.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_6_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",137.0
7,Africa_grid_10_0_40_50_grid_7,29.0,29.25,0.25,0.5,grid_25_0_30_5,4709.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_7_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",137.0
8,Africa_grid_10_0_40_50_grid_8,29.25,29.5,0.25,0.5,grid_25_0_30_5,4710.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_8_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",137.0
9,Africa_grid_10_0_40_50_grid_9,29.5,29.75,0.25,0.5,grid_25_0_30_5,4711.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_9_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",137.0
10,Africa_grid_10_0_40_50_grid_10,29.75,30.0,0.25,0.5,grid_25_0_30_5,4712.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_10_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",138.0
11,Africa_grid_10_0_40_50_grid_11,30.0,30.25,0.25,0.5,grid_25_0_30_5,4713.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_25_0_30_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_11_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",138.0
12,Africa_grid_10_0_40_50_grid_12,30.25,30.5,0.25,0.5,grid_30_0_35_5,4714.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_12_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
13,Africa_grid_10_0_40_50_grid_13,30.5,30.75,0.25,0.5,grid_30_0_35_5,4715.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_13_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
14,Africa_grid_10_0_40_50_grid_14,30.75,31.0,0.25,0.5,grid_30_0_35_5,4716.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_14_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
15,Africa_grid_10_0_40_50_grid_15,31.0,31.25,0.25,0.5,grid_30_0_35_5,4717.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_15_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
16,Africa_grid_10_0_40_50_grid_16,31.25,31.5,0.25,0.5,grid_30_0_35_5,4718.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_16_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
17,Africa_grid_10_0_40_50_grid_17,31.5,31.75,0.25,0.5,grid_30_0_35_5,4719.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_17_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
18,Africa_grid_10_0_40_50_grid_18,31.75,32.0,0.25,0.5,grid_30_0_35_5,4720.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_18_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
19,Africa_grid_10_0_40_50_grid_19,32.0,32.25,0.25,0.5,grid_30_0_35_5,4721.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_19_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
20,Africa_grid_10_0_40_50_grid_20,32.25,32.5,0.25,0.5,grid_30_0_35_5,4722.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_20_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
21,Africa_grid_10_0_40_50_grid_21,32.5,32.75,0.25,0.5,grid_30_0_35_5,4723.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_21_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
22,Africa_grid_10_0_40_50_grid_22,32.75,33.0,0.25,0.5,grid_30_0_35_5,4724.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_22_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
23,Africa_grid_10_0_40_50_grid_23,33.0,33.25,0.25,0.5,grid_30_0_35_5,4725.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_23_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
24,Africa_grid_10_0_40_50_grid_24,33.25,33.5,0.25,0.5,grid_30_0_35_5,4726.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_24_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
25,Africa_grid_10_0_40_50_grid_25,33.5,33.75,0.25,0.5,grid_30_0_35_5,4727.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_25_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
26,Africa_grid_10_0_40_50_grid_26,33.75,34.0,0.25,0.5,grid_30_0_35_5,4728.0,,/nas/houce/Alphaearth_embedding/AEF_tiles/2024/grid_30_0_35_5/Satellite_Embedding_Africa_grid_10_0_40_50_grid_26_2024-01-01_2025-01-01.tif,2024-01-01,2025-01-01,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",138.0
