,grid_name,lon_min,lon_max,lat_min,lat_max,folder_name,index_download,file_path,file_path_copied,start_time,end_time,geometry,file_path_len
50,Africa_grid_10_0_40_50_grid_50,25.25,25.5,0.5,0.75,grid_25_0_30_5,4752.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
51,Africa_grid_10_0_40_50_grid_51,29.0,29.25,0.5,0.75,grid_25_0_30_5,4753.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
52,Africa_grid_10_0_40_50_grid_52,29.25,29.5,0.5,0.75,grid_25_0_30_5,4754.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
53,Africa_grid_10_0_40_50_grid_53,29.5,29.75,0.5,0.75,grid_25_0_30_5,4755.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
54,Africa_grid_10_0_40_50_grid_54,29.75,30.0,0.5,0.75,grid_25_0_30_5,4756.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
55,Africa_grid_10_0_40_50_grid_55,30.0,30.25,0.5,0.75,grid_25_0_30_5,4757.0,,,,,"POLYGON ((25 0, 25 5, 30 5, 30 0, 25 0))",
56,Africa_grid_10_0_40_50_grid_56,30.25,30.5,0.5,0.75,grid_30_0_35_5,4758.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
57,Africa_grid_10_0_40_50_grid_57,30.5,30.75,0.5,0.75,grid_30_0_35_5,4759.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
58,Africa_grid_10_0_40_50_grid_58,30.75,31.0,0.5,0.75,grid_30_0_35_5,4760.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
59,Africa_grid_10_0_40_50_grid_59,31.0,31.25,0.5,0.75,grid_30_0_35_5,4761.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
60,Africa_grid_10_0_40_50_grid_60,31.25,31.5,0.5,0.75,grid_30_0_35_5,4762.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
61,Africa_grid_10_0_40_50_grid_61,31.5,31.75,0.5,0.75,grid_30_0_35_5,4763.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
62,Africa_grid_10_0_40_50_grid_62,31.75,32.0,0.5,0.75,grid_30_0_35_5,4764.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
63,Africa_grid_10_0_40_50_grid_63,32.0,32.25,0.5,0.75,grid_30_0_35_5,4765.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
64,Africa_grid_10_0_40_50_grid_64,32.25,32.5,0.5,0.75,grid_30_0_35_5,4766.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
65,Africa_grid_10_0_40_50_grid_65,32.5,32.75,0.5,0.75,grid_30_0_35_5,4767.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
66,Africa_grid_10_0_40_50_grid_66,32.75,33.0,0.5,0.75,grid_30_0_35_5,4768.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
67,Africa_grid_10_0_40_50_grid_67,33.0,33.25,0.5,0.75,grid_30_0_35_5,4769.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
68,Africa_grid_10_0_40_50_grid_68,33.25,33.5,0.5,0.75,grid_30_0_35_5,4770.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
69,Africa_grid_10_0_40_50_grid_69,33.5,33.75,0.5,0.75,grid_30_0_35_5,4771.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
70,Africa_grid_10_0_40_50_grid_70,33.75,34.0,0.5,0.75,grid_30_0_35_5,4772.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
71,Africa_grid_10_0_40_50_grid_71,34.0,34.25,0.5,0.75,grid_30_0_35_5,4773.0,,,,,"POLYGON ((30 0, 30 5, 35 5, 35 0, 30 0))",
